# Generated with codec_test.py (time: 184min)

Tool versions:
+ mencoder 2:1.0~rc2-0ubuntu13
+ mkvmerge v2.0.2
+ mp4creator 1.6
+ mplayer 1.0rc2-4.2.3
+ ogmmerge v1.5
+ undvd 0.5.1

+------------+------------+------------+------------+
| container  | vcodec     | acodec     | status     |
+------------+------------+------------+------------+
| asf        | asv1       | aac        | ok         |
| asf        | asv1       | ac3        | ok         |
| asf        | asv1       | flac       | ok         |
| asf        | asv1       | mp2        | ok         |
| asf        | asv1       | mp3        | ok         |
| asf        | asv1       | sonic      | ok         |
| asf        | asv1       | sonicls    | ok         |
| asf        | asv1       | vorbis     | ok         |
| asf        | asv1       | wmav1      | ok         |
| asf        | asv1       | wmav2      | ok         |
| asf        | asv2       | aac        | ok         |
| asf        | asv2       | ac3        | ok         |
| asf        | asv2       | flac       | ok         |
| asf        | asv2       | mp2        | ok         |
| asf        | asv2       | mp3        | ok         |
| asf        | asv2       | sonic      | ok         |
| asf        | asv2       | sonicls    | ok         |
| asf        | asv2       | vorbis     | ok         |
| asf        | asv2       | wmav1      | ok         |
| asf        | asv2       | wmav2      | ok         |
| asf        | dvvideo    | aac        | ok         |
| asf        | dvvideo    | ac3        | ok         |
| asf        | dvvideo    | flac       | ok         |
| asf        | dvvideo    | mp2        | ok         |
| asf        | dvvideo    | mp3        | ok         |
| asf        | dvvideo    | sonic      | ok         |
| asf        | dvvideo    | sonicls    | ok         |
| asf        | dvvideo    | vorbis     | ok         |
| asf        | dvvideo    | wmav1      | ok         |
| asf        | dvvideo    | wmav2      | ok         |
| asf        | ffv1       | aac        | ok         |
| asf        | ffv1       | ac3        | ok         |
| asf        | ffv1       | flac       | ok         |
| asf        | ffv1       | mp2        | ok         |
| asf        | ffv1       | mp3        | ok         |
| asf        | ffv1       | sonic      | ok         |
| asf        | ffv1       | sonicls    | ok         |
| asf        | ffv1       | vorbis     | ok         |
| asf        | ffv1       | wmav1      | ok         |
| asf        | ffv1       | wmav2      | ok         |
| asf        | flv        | aac        | ok         |
| asf        | flv        | ac3        | ok         |
| asf        | flv        | flac       | ok         |
| asf        | flv        | mp2        | ok         |
| asf        | flv        | mp3        | ok         |
| asf        | flv        | sonic      | ok         |
| asf        | flv        | sonicls    | ok         |
| asf        | flv        | vorbis     | ok         |
| asf        | flv        | wmav1      | ok         |
| asf        | flv        | wmav2      | ok         |
| asf        | h261       | aac        | failed     |
| asf        | h261       | ac3        | failed     |
| asf        | h261       | flac       | failed     |
| asf        | h261       | mp2        | failed     |
| asf        | h261       | mp3        | failed     |
| asf        | h261       | sonic      | failed     |
| asf        | h261       | sonicls    | failed     |
| asf        | h261       | vorbis     | failed     |
| asf        | h261       | wmav1      | failed     |
| asf        | h261       | wmav2      | failed     |
| asf        | h263       | aac        | failed     |
| asf        | h263       | ac3        | failed     |
| asf        | h263       | flac       | failed     |
| asf        | h263       | mp2        | failed     |
| asf        | h263       | mp3        | failed     |
| asf        | h263       | sonic      | failed     |
| asf        | h263       | sonicls    | failed     |
| asf        | h263       | vorbis     | failed     |
| asf        | h263       | wmav1      | failed     |
| asf        | h263       | wmav2      | failed     |
| asf        | h263p      | aac        | ok         |
| asf        | h263p      | ac3        | ok         |
| asf        | h263p      | flac       | ok         |
| asf        | h263p      | mp2        | ok         |
| asf        | h263p      | mp3        | ok         |
| asf        | h263p      | sonic      | ok         |
| asf        | h263p      | sonicls    | ok         |
| asf        | h263p      | vorbis     | ok         |
| asf        | h263p      | wmav1      | ok         |
| asf        | h263p      | wmav2      | ok         |
| asf        | h264       | aac        | ok         |
| asf        | h264       | ac3        | ok         |
| asf        | h264       | flac       | ok         |
| asf        | h264       | mp2        | ok         |
| asf        | h264       | mp3        | ok         |
| asf        | h264       | sonic      | ok         |
| asf        | h264       | sonicls    | ok         |
| asf        | h264       | vorbis     | ok         |
| asf        | h264       | wmav1      | ok         |
| asf        | h264       | wmav2      | ok         |
| asf        | mpeg1video | aac        | ok         |
| asf        | mpeg1video | ac3        | ok         |
| asf        | mpeg1video | flac       | ok         |
| asf        | mpeg1video | mp2        | ok         |
| asf        | mpeg1video | mp3        | ok         |
| asf        | mpeg1video | sonic      | ok         |
| asf        | mpeg1video | sonicls    | ok         |
| asf        | mpeg1video | vorbis     | ok         |
| asf        | mpeg1video | wmav1      | ok         |
| asf        | mpeg1video | wmav2      | ok         |
| asf        | mpeg2video | aac        | ok         |
| asf        | mpeg2video | ac3        | ok         |
| asf        | mpeg2video | flac       | ok         |
| asf        | mpeg2video | mp2        | ok         |
| asf        | mpeg2video | mp3        | ok         |
| asf        | mpeg2video | sonic      | ok         |
| asf        | mpeg2video | sonicls    | ok         |
| asf        | mpeg2video | vorbis     | ok         |
| asf        | mpeg2video | wmav1      | ok         |
| asf        | mpeg2video | wmav2      | ok         |
| asf        | mpeg4      | aac        | ok         |
| asf        | mpeg4      | ac3        | ok         |
| asf        | mpeg4      | flac       | ok         |
| asf        | mpeg4      | mp2        | ok         |
| asf        | mpeg4      | mp3        | ok         |
| asf        | mpeg4      | sonic      | ok         |
| asf        | mpeg4      | sonicls    | ok         |
| asf        | mpeg4      | vorbis     | ok         |
| asf        | mpeg4      | wmav1      | ok         |
| asf        | mpeg4      | wmav2      | ok         |
| asf        | msmpeg4    | aac        | ok         |
| asf        | msmpeg4    | ac3        | ok         |
| asf        | msmpeg4    | flac       | ok         |
| asf        | msmpeg4    | mp2        | ok         |
| asf        | msmpeg4    | mp3        | ok         |
| asf        | msmpeg4    | sonic      | ok         |
| asf        | msmpeg4    | sonicls    | ok         |
| asf        | msmpeg4    | vorbis     | ok         |
| asf        | msmpeg4    | wmav1      | ok         |
| asf        | msmpeg4    | wmav2      | ok         |
| asf        | msmpeg4v2  | aac        | ok         |
| asf        | msmpeg4v2  | ac3        | ok         |
| asf        | msmpeg4v2  | flac       | ok         |
| asf        | msmpeg4v2  | mp2        | ok         |
| asf        | msmpeg4v2  | mp3        | ok         |
| asf        | msmpeg4v2  | sonic      | ok         |
| asf        | msmpeg4v2  | sonicls    | ok         |
| asf        | msmpeg4v2  | vorbis     | ok         |
| asf        | msmpeg4v2  | wmav1      | ok         |
| asf        | msmpeg4v2  | wmav2      | ok         |
| asf        | roqvideo   | aac        | failed     |
| asf        | roqvideo   | ac3        | failed     |
| asf        | roqvideo   | flac       | failed     |
| asf        | roqvideo   | mp2        | failed     |
| asf        | roqvideo   | mp3        | failed     |
| asf        | roqvideo   | sonic      | failed     |
| asf        | roqvideo   | sonicls    | failed     |
| asf        | roqvideo   | vorbis     | failed     |
| asf        | roqvideo   | wmav1      | failed     |
| asf        | roqvideo   | wmav2      | failed     |
| asf        | rv10       | aac        | ok         |
| asf        | rv10       | ac3        | ok         |
| asf        | rv10       | flac       | ok         |
| asf        | rv10       | mp2        | ok         |
| asf        | rv10       | mp3        | ok         |
| asf        | rv10       | sonic      | ok         |
| asf        | rv10       | sonicls    | ok         |
| asf        | rv10       | vorbis     | ok         |
| asf        | rv10       | wmav1      | ok         |
| asf        | rv10       | wmav2      | ok         |
| asf        | svq1       | aac        | ok         |
| asf        | svq1       | ac3        | ok         |
| asf        | svq1       | flac       | ok         |
| asf        | svq1       | mp2        | ok         |
| asf        | svq1       | mp3        | ok         |
| asf        | svq1       | sonic      | ok         |
| asf        | svq1       | sonicls    | ok         |
| asf        | svq1       | vorbis     | ok         |
| asf        | svq1       | wmav1      | ok         |
| asf        | svq1       | wmav2      | ok         |
| asf        | wmv1       | aac        | ok         |
| asf        | wmv1       | ac3        | ok         |
| asf        | wmv1       | flac       | ok         |
| asf        | wmv1       | mp2        | ok         |
| asf        | wmv1       | mp3        | ok         |
| asf        | wmv1       | sonic      | ok         |
| asf        | wmv1       | sonicls    | ok         |
| asf        | wmv1       | vorbis     | ok         |
| asf        | wmv1       | wmav1      | ok         |
| asf        | wmv1       | wmav2      | ok         |
| asf        | wmv2       | aac        | ok         |
| asf        | wmv2       | ac3        | ok         |
| asf        | wmv2       | flac       | ok         |
| asf        | wmv2       | mp2        | ok         |
| asf        | wmv2       | mp3        | ok         |
| asf        | wmv2       | sonic      | ok         |
| asf        | wmv2       | sonicls    | ok         |
| asf        | wmv2       | vorbis     | ok         |
| asf        | wmv2       | wmav1      | ok         |
| asf        | wmv2       | wmav2      | ok         |
| asf        | xvid       | aac        | ok         |
| asf        | xvid       | ac3        | ok         |
| asf        | xvid       | flac       | ok         |
| asf        | xvid       | mp2        | ok         |
| asf        | xvid       | mp3        | ok         |
| asf        | xvid       | sonic      | ok         |
| asf        | xvid       | sonicls    | ok         |
| asf        | xvid       | vorbis     | ok         |
| asf        | xvid       | wmav1      | ok         |
| asf        | xvid       | wmav2      | ok         |
| avi        | asv1       | aac        | ok         |
| avi        | asv1       | ac3        | ok         |
| avi        | asv1       | flac       | ok         |
| avi        | asv1       | mp2        | ok         |
| avi        | asv1       | mp3        | ok         |
| avi        | asv1       | sonic      | ok         |
| avi        | asv1       | sonicls    | ok         |
| avi        | asv1       | vorbis     | ok         |
| avi        | asv1       | wmav1      | ok         |
| avi        | asv1       | wmav2      | ok         |
| avi        | asv2       | aac        | ok         |
| avi        | asv2       | ac3        | ok         |
| avi        | asv2       | flac       | ok         |
| avi        | asv2       | mp2        | ok         |
| avi        | asv2       | mp3        | ok         |
| avi        | asv2       | sonic      | ok         |
| avi        | asv2       | sonicls    | ok         |
| avi        | asv2       | vorbis     | ok         |
| avi        | asv2       | wmav1      | ok         |
| avi        | asv2       | wmav2      | ok         |
| avi        | dvvideo    | aac        | ok         |
| avi        | dvvideo    | ac3        | ok         |
| avi        | dvvideo    | flac       | ok         |
| avi        | dvvideo    | mp2        | ok         |
| avi        | dvvideo    | mp3        | ok         |
| avi        | dvvideo    | sonic      | ok         |
| avi        | dvvideo    | sonicls    | ok         |
| avi        | dvvideo    | vorbis     | ok         |
| avi        | dvvideo    | wmav1      | ok         |
| avi        | dvvideo    | wmav2      | ok         |
| avi        | ffv1       | aac        | ok         |
| avi        | ffv1       | ac3        | ok         |
| avi        | ffv1       | flac       | ok         |
| avi        | ffv1       | mp2        | ok         |
| avi        | ffv1       | mp3        | ok         |
| avi        | ffv1       | sonic      | ok         |
| avi        | ffv1       | sonicls    | ok         |
| avi        | ffv1       | vorbis     | ok         |
| avi        | ffv1       | wmav1      | ok         |
| avi        | ffv1       | wmav2      | ok         |
| avi        | flv        | aac        | ok         |
| avi        | flv        | ac3        | ok         |
| avi        | flv        | flac       | ok         |
| avi        | flv        | mp2        | ok         |
| avi        | flv        | mp3        | ok         |
| avi        | flv        | sonic      | ok         |
| avi        | flv        | sonicls    | ok         |
| avi        | flv        | vorbis     | ok         |
| avi        | flv        | wmav1      | ok         |
| avi        | flv        | wmav2      | ok         |
| avi        | h261       | aac        | failed     |
| avi        | h261       | ac3        | failed     |
| avi        | h261       | flac       | failed     |
| avi        | h261       | mp2        | failed     |
| avi        | h261       | mp3        | failed     |
| avi        | h261       | sonic      | failed     |
